Date,value,Model Code,Model check code
1994-01-01,12.81,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1995-01-01,14.4,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1996-01-01,17.99,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1997-01-01,15.83,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1998-01-01,9.79,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1999-01-01,14.53,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
2000-01-01,26.96,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
2001-01-01,21.21,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
2002-01-01,22.44,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
2003-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
2004-01-01,36.0,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
2005-01-01,51.55,model://EIA_LCICO_CS/US.OIL.EIA.IVE2210008_A/PRICE/ALL,IVE2210008.A
1983-01-01,33.99,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-02-01,33.0,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-03-01,30.78,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-04-01,32.15,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-05-01,30.74,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-06-01,30.89,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-07-01,31.1,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-08-01,31.25,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-09-01,32.06,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-10-01,30.97,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1983-11-01,30.41,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
